,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
85725,FF,93.0,-1.36,5.86,"Bieber, Shane",3.0,R,L,R,S,0,0,-0.64,1.75,0.83,2.88,1,7.00167022547665,-135.283727592833,-9.317951590099993,28.2532721281333,-9.774652470117,3.36,1.6,93.0,2348.0,6.2,54.27,8,1,4-Seam Fastball,200.0,0.0,-0.055
85726,FF,93.8,-1.38,5.85,"Bieber, Shane",4.0,R,R,R,X,0,1,-0.8,1.4,-0.65,2.78,1,3.62199983254084,-136.468775312329,-10.7248520671809,28.0443527252772,-13.8717066250629,3.36,1.6,93.8,2309.0,6.2,54.35,7,2,4-Seam Fastball,210.0,0.026,0.3
85727,FF,92.4,-1.59,5.87,"Bieber, Shane",1.0,R,R,R,S,0,0,-0.69,1.49,-0.55,3.1,1,4.10736144140323,-134.554480363109,-9.13089750541111,26.4398798345358,-13.5193104752369,3.27,1.55,92.2,2223.0,5.9,54.59,7,1,4-Seam Fastball,205.0,0.0,-0.03
85728,FF,92.6,-1.37,5.81,"Bieber, Shane",4.0,R,L,R,X,3,1,-0.7,1.38,-0.33,2.24,1,4.13133719289754,-134.707541455122,-9.31852546633396,27.8694143795098,-14.4738985119412,3.34,1.52,92.1,2057.0,5.9,54.62,6,5,4-Seam Fastball,207.0,-0.023,-0.411
85729,KC,83.7,-1.42,5.85,"Bieber, Shane",14.0,R,L,R,B,2,1,0.06,-0.5,0.06,1.25,1,3.29290244134463,-121.925194179753,0.0197345026051838,22.1301065902892,-36.7168930653976,3.28,1.53,83.5,2296.0,5.9,54.6,6,4,Knuckle Curve,7.0,0.0,0.121
85730,FF,93.1,-1.39,5.78,"Bieber, Shane",7.0,R,L,R,S,2,0,-0.67,1.44,-0.38,2.12,1,4.02219546721022,-135.44699797279,-8.977487943040689,27.0302862382843,-13.3547712553244,3.4,1.58,93.1,2215.0,6.1,54.4,6,3,4-Seam Fastball,205.0,0.0,-0.063
85731,FF,92.8,-1.44,5.78,"Bieber, Shane",13.0,R,L,R,B,1,0,-0.77,1.21,-0.27,1.0,1,4.63944892908204,-134.864107959817,-10.2820227078485,27.171625190893803,-15.9115115141707,3.37,1.53,92.4,2143.0,6.0,54.54,6,2,4-Seam Fastball,212.0,0.0,0.068
85732,FF,93.3,-1.43,5.87,"Bieber, Shane",14.0,R,L,R,B,0,0,-0.64,1.7,0.52,1.26,1,6.4102491587738,-135.468764593209,-9.226091693550538,26.921486782486895,-9.37087153041664,3.25,1.49,93.5,2322.0,6.3,54.19,6,1,4-Seam Fastball,201.0,0.0,0.037
105265,KC,83.2,-1.39,5.75,"Bieber, Shane",14.0,R,L,R,S,2,2,0.31,-0.79,0.16,0.79,7,2.96305795542382,-121.168825268056,2.40043354208965,24.929500024354105,-39.4290922045416,3.23,1.54,83.0,2411.0,6.2,54.29,59,5,Knuckle Curve,21.0,0.004,-0.099
105266,FF,91.9,-1.35,5.8,"Bieber, Shane",6.0,R,L,R,S,2,1,-0.36,1.48,0.44,2.37,7,5.2995839554226105,-133.590663149501,-5.47574389128852,30.057158601817,-13.5655160359144,3.22,1.54,91.4,2147.0,6.2,54.35,59,4,4-Seam Fastball,194.0,0.0,-0.033
