,pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,game_type,stand,p_throws,type,balls,strikes,pfx_x,pfx_z,plate_x,plate_z,inning,vx0,vy0,ax,ay,az,sz_top,sz_bot,effective_speed,release_spin_rate,release_extension,release_pos_y,at_bat_number,pitch_number,pitch_name,spin_axis,delta_home_win_exp,delta_run_exp
619662,FF,96.7,-1.38,5.59,"deGrom, Jacob",12.0,R,L,R,B,1,1,-0.55,1.57,0.87,3.9,1,7.35065757093055,-140.808087786194,-9.14543534582644,32.1196603007179,-10.6027898756045,3.27,1.61,97.7,2457.0,6.8,53.66,4,3,4-Seam Fastball,199.0,0.0,0.033
619663,CH,88.9,-1.37,5.68,"deGrom, Jacob",1.0,R,L,R,S,1,0,-1.48,0.62,-0.8,3.32,1,4.725428078664019,-129.59782183021798,-18.264900603025698,26.9011529267562,-24.891048687971,3.37,1.66,90.7,2063.0,7.3,53.21,4,2,Changeup,247.0,0.0,-0.052
619664,FF,97.3,-1.5,5.67,"deGrom, Jacob",11.0,R,L,R,B,0,0,-0.49,1.49,-1.58,4.03,1,0.920887878424389,-141.813121769813,-6.89884697341751,30.8960357716265,-11.4730512139499,3.52,1.66,98.4,2480.0,6.7,53.79,4,1,4-Seam Fastball,198.0,-0.01,0.035
619665,FF,97.0,-1.42,5.6,"deGrom, Jacob",12.0,R,L,R,S,1,2,-0.6,1.53,0.56,3.49,1,6.72449684757019,-141.18409878498002,-9.59804245439156,31.491669885132104,-10.7356570872572,3.3,1.6,98.0,2471.0,6.8,53.69,3,4,4-Seam Fastball,201.0,0.0279999999999999,-0.2239999999999999
619666,FF,96.7,-1.4,5.68,"deGrom, Jacob",11.0,R,L,R,S,1,1,-0.41,1.55,-0.41,3.5,1,3.6389850365957295,-140.888680273371,-6.366829145153099,30.5870079037847,-10.4380201496027,3.3,1.6,97.9,2451.0,6.8,53.71,3,3,4-Seam Fastball,195.0,0.0,-0.077
619667,FF,96.3,-1.44,5.58,"deGrom, Jacob",4.0,R,L,R,S,1,0,-0.63,1.61,-0.39,2.4,1,4.2900390289663,-140.16482017010202,-9.45771586404698,30.5417255757518,-9.25526264196476,3.17,1.49,97.5,2428.0,6.9,53.61,3,2,4-Seam Fastball,201.0,0.0,-0.061
619668,FF,96.1,-1.63,5.69,"deGrom, Jacob",11.0,R,L,R,B,0,0,-0.53,1.56,-0.16,3.99,1,5.16318907408472,-140.022013611119,-8.204701021552511,30.7370972658336,-10.8128028617778,3.19,1.42,97.4,2433.0,6.9,53.59,3,1,4-Seam Fastball,199.0,0.0,0.043
619669,FF,97.3,-1.63,5.66,"deGrom, Jacob",13.0,R,L,R,B,3,0,-0.86,1.41,-0.23,1.69,1,5.808952257448079,-141.506066951672,-13.0414716432343,30.391604118983697,-11.289010874758198,3.29,1.82,98.3,2425.0,6.8,53.74,2,4,4-Seam Fastball,211.0,-0.025,0.107
619670,CH,90.1,-1.64,5.64,"deGrom, Jacob",11.0,R,L,R,B,2,0,-1.45,0.57,-1.08,4.3,1,4.62073566935065,-131.380059827232,-18.232343063949603,27.728773680710503,-25.864898470176,3.29,1.7,91.7,2122.0,7.1,53.38,2,3,Changeup,248.0,0.0,0.086
619671,CH,90.8,-1.64,5.59,"deGrom, Jacob",13.0,R,L,R,B,1,0,-1.38,0.61,-0.14,1.34,1,6.89884010110594,-132.106975576262,-18.0550105408696,26.9636229174217,-23.7121066840214,3.38,1.82,92.3,1984.0,7.1,53.38,2,2,Changeup,246.0,0.0,0.049
619672,FF,96.8,-1.67,5.72,"deGrom, Jacob",11.0,R,L,R,B,0,0,-0.49,1.58,-0.61,4.06,1,3.9979830704896897,-141.111610781463,-7.53809424846068,31.019795204963497,-10.2980547220957,3.24,1.82,98.0,2468.0,6.8,53.71,2,1,4-Seam Fastball,197.0,0.0,0.0279999999999999
619673,SL,93.6,-1.68,5.65,"deGrom, Jacob",8.0,R,R,R,X,0,2,0.18,0.7,0.28,2.06,1,4.6935466763205,-136.360826627999,1.34172911510416,27.5446668281636,-22.3947051507178,3.67,1.74,94.7,2586.0,6.7,53.82,1,3,Slider,166.0,0.022,-0.157
619674,FF,97.0,-1.67,5.65,"deGrom, Jacob",8.0,R,R,R,S,0,1,-0.62,1.48,0.14,2.04,1,6.33161278281489,-141.15875853952,-9.818927283879882,28.213566366910506,-10.4184290078395,3.68,1.78,98.5,2439.0,6.9,53.64,1,2,4-Seam Fastball,203.0,0.0,-0.052
